,Model,Colour,Memory,RAM,Battery,Rear_camera_mp,Front_Camera_mp,AI Lens,Mobile Height,Processor,Price
523,realme 9 5G,Meteor Black,64,4,5000,48,16,0,16.51,Mediatek Dimensity 810,13499
524,realme 9 5G,Supersonic Black,64,4,5000,48,16,0,16.51,Mediatek Dimensity 810,13499
526,vivo Y100 5G,Metal Black,128,8,4500,64,16,0,16.21,Mediatek Dimensity 900,23999
527,vivo Y100 5G,Twilight Gold,128,8,4500,64,16,0,16.21,Mediatek Dimensity 900,23999
528,SAMSUNG Galaxy A23,Blue,128,6,5000,50,8,0,16.76,Octa-core(EXYNOS),17499
529,realme Narzo 50i Prime,Mint Green,64,4,5000,8,5,0,16.51,Unisoc T612 processor,8460
530,SAMSUNG Galaxy A04,Copper,128,4,5000,50,5,0,16.51,Mediatek Helio P35,12999
531,OPPO F21s Pro,Starlight Black,128,8,4500,64,16,0,16.33,Qualcomm SM6225 Snapdragon 680 4G (6 nm),20890
533,SAMSUNG Galaxy A13,Peach,128,6,5000,50,8,0,16.76,Exynos Octa Core,16499
534,Nokia G11 Plus,Grey,64,4,5000,50,8,0,16.55,Octa Core,9790
535,SAMSUNG Galaxy A04e,Light Blue,64,3,5000,13,5,0,16.51,Mediatek Helio P35,9999
538,Tecno Spark 8T,Turquoise Cyan,64,4,5000,50,8,0,16.76,MediaTek Helio G35,9990
540,OPPO A77,Sky Blue,128,4,5000,50,8,0,16.66,Mediatek Helio G35,15999
